                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8401,                 3.3456,                 2.9819,                0.32326,                0.24849,                0.18408,                0.08394,                 2.0145,                 2.0018,                 2.2388,               0.070005,              0.0033328,              0.0033328
                      2,                 1.9526,                 2.3033,                 2.1133,                0.36192,                0.30167,                0.26145,                0.13639,                 1.7159,                 1.7003,                 1.8943,               0.039961,              0.0066222,              0.0066222
                      3,                  1.799,                 2.0924,                 1.9029,                0.35056,                 0.3426,                0.28822,                0.15774,                 1.6337,                 1.6415,                 1.7825,              0.0098726,              0.0098675,              0.0098675
                      4,                 1.7084,                 1.9447,                 1.7991,                0.39815,                0.37651,                 0.3287,                0.18433,                  1.577,                 1.5343,                 1.7021,               0.009802,               0.009802,               0.009802
                      5,                 1.6383,                 1.7586,                 1.7336,                0.41458,                0.38613,                0.34835,                0.19875,                 1.5219,                 1.4603,                 1.6465,               0.009802,               0.009802,               0.009802
                      6,                 1.5923,                 1.6594,                 1.6897,                0.43939,                0.40693,                0.37696,                0.21612,                 1.4977,                 1.3874,                 1.6277,               0.009736,               0.009736,               0.009736
                      7,                 1.5616,                 1.5771,                 1.6605,                0.45981,                0.41951,                0.39758,                0.23335,                 1.4625,                 1.3474,                 1.6005,                0.00967,                0.00967,                0.00967
                      8,                 1.5209,                 1.4843,                  1.634,                0.50359,                0.43666,                0.42902,                0.25133,                 1.4563,                 1.3071,                 1.5899,               0.009604,               0.009604,               0.009604
                      9,                 1.5111,                 1.4447,                 1.6241,                0.50212,                0.45606,                0.44136,                0.26344,                 1.4365,                  1.287,                 1.5695,               0.009538,               0.009538,               0.009538
                     10,                 1.4872,                 1.3939,                 1.6039,                0.53173,                0.44818,                0.45351,                0.26838,                 1.4327,                 1.2588,                 1.5698,               0.009472,               0.009472,               0.009472
                     11,                 1.4813,                 1.3647,                 1.6025,                0.51194,                0.46133,                0.45371,                 0.2703,                 1.4179,                 1.2295,                 1.5607,               0.009406,               0.009406,               0.009406
                     12,                 1.4626,                  1.331,                 1.5868,                0.52352,                0.47297,                0.46902,                0.28392,                 1.4021,                 1.2067,                  1.543,                0.00934,                0.00934,                0.00934
                     13,                  1.454,                 1.3034,                 1.5737,                0.53218,                0.47309,                0.47122,                0.28208,                 1.4009,                 1.1957,                 1.5431,               0.009274,               0.009274,               0.009274
                     14,                 1.4505,                 1.3006,                 1.5718,                0.53634,                0.47919,                0.48289,                0.29246,                  1.391,                 1.1735,                 1.5371,               0.009208,               0.009208,               0.009208
                     15,                 1.4432,                 1.2888,                 1.5689,                0.53277,                0.48149,                0.48075,                0.29171,                 1.3911,                 1.1729,                 1.5398,               0.009142,               0.009142,               0.009142
                     16,                 1.4382,                 1.2633,                 1.5656,                0.53305,                0.48833,                0.49124,                0.29636,                 1.3816,                  1.161,                 1.5258,               0.009076,               0.009076,               0.009076
                     17,                 1.4229,                 1.2327,                 1.5542,                0.55409,                0.49795,                0.50341,                 0.3045,                 1.3738,                 1.1451,                 1.5222,                0.00901,                0.00901,                0.00901
                     18,                 1.4118,                 1.2138,                 1.5462,                0.55672,                0.49889,                0.50946,                0.30965,                 1.3679,                 1.1373,                 1.5128,               0.008944,               0.008944,               0.008944
                     19,                 1.4083,                 1.2005,                 1.5412,                  0.561,                0.51062,                0.51314,                0.31304,                  1.369,                 1.1206,                 1.5132,               0.008878,               0.008878,               0.008878
                     20,                 1.4054,                 1.1905,                 1.5343,                0.56909,                0.50576,                0.50989,                0.31103,                 1.3643,                 1.1228,                 1.5091,               0.008812,               0.008812,               0.008812
                     21,                 1.4027,                   1.18,                  1.536,                0.57027,                  0.505,                0.51773,                0.31674,                 1.3559,                 1.0995,                 1.5063,               0.008746,               0.008746,               0.008746
                     22,                 1.3917,                 1.1739,                 1.5322,                 0.5607,                0.51238,                0.52571,                0.32261,                 1.3541,                 1.1099,                 1.5046,                0.00868,                0.00868,                0.00868
