                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2467,                 5.3081,                 3.9301,                0.29991,                 0.0513,                0.03024,                0.01026,                 2.7675,                 4.6626,                 3.2702,                0.07001,              0.0033322,              0.0033322
                      2,                 2.3838,                 3.6976,                  2.887,                0.38686,                0.20202,                0.16704,                0.08188,                 2.0208,                 4.3969,                 2.3534,               0.039966,              0.0066215,              0.0066215
                      3,                 1.8485,                 2.8021,                 2.2278,                0.36866,                0.26883,                0.25238,                0.13663,                 1.7236,                  2.482,                 1.9509,              0.0098782,              0.0098669,              0.0098669
                      4,                 1.6232,                 2.3552,                 1.9443,                0.45309,                0.33825,                0.33139,                0.18983,                 1.5847,                 2.1691,                   1.77,               0.009802,               0.009802,               0.009802
                      5,                  1.483,                 2.0293,                 1.8045,                0.51569,                0.38117,                0.37566,                0.21453,                 1.5257,                 2.0437,                  1.716,               0.009802,               0.009802,               0.009802
                      6,                 1.4174,                 1.8244,                 1.7196,                0.56247,                0.43605,                0.44834,                0.26243,                 1.4416,                 1.8093,                  1.622,               0.009736,               0.009736,               0.009736
                      7,                 1.3514,                 1.6652,                 1.6581,                0.61706,                0.45543,                0.48142,                0.29675,                 1.3761,                  1.698,                 1.5691,                0.00967,                0.00967,                0.00967
                      8,                  1.315,                 1.5816,                 1.6235,                0.64486,                0.47741,                0.51288,                0.31503,                 1.3488,                 1.5428,                 1.5394,               0.009604,               0.009604,               0.009604
                      9,                  1.286,                 1.4863,                 1.5928,                0.66345,                0.49726,                0.54418,                 0.3429,                 1.3112,                 1.4909,                 1.4993,               0.009538,               0.009538,               0.009538
                     10,                 1.2513,                 1.4184,                 1.5544,                0.66342,                0.51057,                 0.5581,                0.35082,                 1.3039,                 1.3982,                 1.4809,               0.009472,               0.009472,               0.009472
                     11,                 1.2245,                 1.3519,                 1.5262,                0.69909,                0.51484,                0.57863,                0.36718,                 1.2868,                 1.3855,                 1.4662,               0.009406,               0.009406,               0.009406
                     12,                 1.2043,                 1.3101,                 1.5023,                0.68624,                 0.5477,                0.59525,                0.38333,                 1.2607,                 1.3068,                 1.4412,                0.00934,                0.00934,                0.00934
                     13,                 1.1834,                 1.2574,                 1.4909,                0.71303,                0.55513,                0.61284,                0.39923,                 1.2466,                 1.3128,                 1.4226,               0.009274,               0.009274,               0.009274
                     14,                 1.1721,                 1.2243,                 1.4754,                0.72102,                0.57101,                0.63109,                0.40854,                 1.2387,                 1.2113,                 1.4175,               0.009208,               0.009208,               0.009208
                     15,                 1.1542,                 1.1852,                 1.4615,                0.73071,                0.58575,                0.64161,                0.41944,                 1.2255,                 1.1991,                 1.4043,               0.009142,               0.009142,               0.009142
                     16,                 1.1464,                  1.151,                 1.4527,                0.72174,                0.58105,                0.64236,                 0.4227,                 1.2206,                 1.2005,                 1.4014,               0.009076,               0.009076,               0.009076
                     17,                 1.1241,                 1.1232,                 1.4261,                0.74961,                0.60109,                0.67017,                0.44615,                 1.1981,                 1.1667,                 1.3826,                0.00901,                0.00901,                0.00901
                     18,                 1.1201,                 1.1067,                 1.4267,                0.75949,                0.60163,                0.67062,                0.44413,                 1.1949,                 1.1401,                 1.3784,               0.008944,               0.008944,               0.008944
                     19,                 1.1032,                 1.0766,                 1.4157,                0.76683,                0.61543,                0.68555,                0.45846,                 1.1843,                 1.1163,                 1.3681,               0.008878,               0.008878,               0.008878
                     20,                 1.0873,                 1.0393,                 1.3995,                0.77444,                0.61699,                0.68741,                0.46363,                 1.1723,                 1.0702,                 1.3551,               0.008812,               0.008812,               0.008812
                     21,                 1.0834,                 1.0408,                 1.3956,                0.78391,                0.61841,                0.70463,                0.47838,                 1.1665,                   1.08,                 1.3526,               0.008746,               0.008746,               0.008746
                     22,                  1.079,                 1.0084,                 1.3852,                0.77496,                0.62841,                0.70027,                0.48128,                 1.1619,                 1.0508,                  1.346,                0.00868,                0.00868,                0.00868
                     23,                 1.0643,                0.99679,                 1.3784,                0.78156,                0.63865,                0.71107,                0.48642,                 1.1561,                 1.0359,                 1.3394,               0.008614,               0.008614,               0.008614
                     24,                 1.0595,                0.99043,                 1.3717,                0.78621,                0.63952,                 0.7164,                0.49053,                 1.1495,                  1.002,                 1.3363,               0.008548,               0.008548,               0.008548
                     25,                 1.0559,                 0.9682,                 1.3663,                0.78957,                0.64314,                0.71981,                0.49531,                 1.1431,                 1.0078,                 1.3316,               0.008482,               0.008482,               0.008482
                     26,                  1.052,                0.95346,                 1.3671,                0.79603,                0.65848,                 0.7282,                0.49995,                 1.1399,                0.98104,                 1.3282,               0.008416,               0.008416,               0.008416
                     27,                 1.0367,                0.94782,                 1.3558,                 0.8103,                0.65605,                0.73263,                0.50536,                 1.1366,                0.97865,                 1.3253,                0.00835,                0.00835,                0.00835
                     28,                  1.034,                0.93682,                 1.3519,                 0.7949,                0.65224,                0.73527,                0.51167,                 1.1299,                0.97935,                 1.3185,               0.008284,               0.008284,               0.008284
                     29,                  1.028,                0.92707,                 1.3502,                0.79392,                0.66347,                0.73825,                0.51646,                 1.1251,                0.95791,                 1.3169,               0.008218,               0.008218,               0.008218
                     30,                 1.0217,                0.91243,                 1.3439,                0.79751,                0.66368,                0.74061,                0.52061,                 1.1206,                0.95806,                 1.3113,               0.008152,               0.008152,               0.008152
